"SourceNodeName","DestinationNodeName","Capacity","UnitCost","SourceNodeID","DestinationNodeID"
"A1","B1",42,20,1,11
"A1","B2",42,20,1,12
"A1","B5",54,5,1,15
"A2","B1",50,15,2,11
"A2","B2",60,5,2,12
"A2","B5",46,15,2,15
"A3","B1",48,15,3,11
"A3","B3",50,5,3,13
"A3","B4",44,10,3,14
"A4","B3",50,15,4,13
"A4","B4",50,15,4,14
"A5","B2",40,20,5,12
"A5","B4",48,5,5,14
"A5","B5",60,20,5,15
"A6","B1",44,10,6,11
"A6","B2",58,15,6,12
"A6","B3",50,15,6,13
"A6","B4",52,5,6,14
"A7","B1",46,10,7,11
"A7","B2",46,15,7,12
"A7","B3",54,20,7,13
"A7","B4",44,15,7,14
"A7","B5",44,15,7,15
"A8","B1",52,5,8,11
"A8","B2",52,15,8,12
"A8","B3",44,10,8,13
"A8","B4",54,15,8,14
"A8","B5",52,10,8,15
"A9","B1",48,10,9,11
"A10","B2",60,10,10,12
"A10","B4",58,5,10,14
"B1","C1",74,15,11,16
"B1","C2",64,35,11,17
"B1","C5",76,25,11,20
"B2","C1",68,35,12,16
"B2","C4",78,30,12,19
"B3","C2",60,25,13,17
"B3","C3",62,15,13,18
"B3","C4",70,15,13,19
"B4","C1",80,15,14,16
"B4","C2",78,10,14,17
"B4","C3",66,20,14,18
"B4","C4",76,20,14,19
"B4","C5",76,25,14,20
"B5","C1",64,30,15,16
"B5","C2",76,35,15,17
"B5","C3",64,30,15,18
"B5","C4",68,20,15,19
"B5","C5",68,25,15,20
"C1","D1",30,10,16,21
"C1","D2",36,20,16,22
"C1","D4",46,10,16,24
"C1","D5",50,20,16,25
"C1","D8",44,20,16,28
"C1","D11",30,10,16,31
"C1","D12",30,10,16,32
"C1","D13",44,10,16,33
"C1","D14",46,20,16,34
"C1","D16",46,20,16,36
"C1","D18",44,15,16,38
"C2","D1",36,20,17,21
"C2","D7",42,20,17,27
"C2","D8",36,20,17,28
"C2","D9",34,15,17,29
"C2","D11",32,15,17,31
"C2","D14",48,10,17,34
"C2","D15",50,20,17,35
"C2","D16",32,20,17,36
"C2","D17",32,10,17,37
"C2","D18",46,15,17,38
"C2","D19",40,10,17,39
"C2","D20",34,20,17,40
"C3","D1",34,20,18,21
"C3","D3",44,10,18,23
"C3","D4",42,15,18,24
"C3","D8",36,10,18,28
"C3","D9",50,20,18,29
"C3","D10",34,10,18,30
"C3","D11",38,20,18,31
"C3","D12",40,20,18,32
"C3","D14",42,20,18,34
"C3","D16",32,20,18,36
"C3","D18",40,10,18,38
"C3","D20",44,20,18,40
"C4","D1",46,15,19,21
"C4","D2",32,10,19,22
"C4","D5",36,15,19,25
"C4","D6",34,20,19,26
"C4","D7",42,20,19,27
"C4","D10",32,20,19,30
"C4","D11",48,15,19,31
"C4","D13",36,15,19,33
"C4","D18",48,10,19,38
"C4","D19",34,15,19,39
"C4","D20",48,20,19,40
"C5","D3",38,15,20,23
"C5","D5",30,15,20,25
"C5","D7",46,15,20,27
"C5","D8",42,15,20,28
"C5","D11",40,10,20,31
"C5","D12",38,15,20,32
"C5","D13",48,10,20,33
"C5","D14",36,15,20,34
