NodeID,Layer,NodeName,Inventory,Demand,BackorderCost
1,A,A1,20,0,0
2,A,A2,20,0,0
3,A,A3,60,0,0
4,A,A4,20,0,0
5,A,A5,30,0,0
6,A,A6,20,0,0
7,A,A7,60,0,0
8,A,A8,10,0,0
9,A,A9,20,0,0
10,A,A10,60,0,0
11,B,B1,20,0,0
12,B,B2,5,0,0
13,B,B3,15,0,0
14,B,B4,20,0,0
15,B,B5,20,0,0
16,C,C1,15,0,0
17,C,C2,20,0,0
18,C,C3,5,0,0
19,C,C4,5,0,0
20,C,C5,5,0,0
21,D,D1,0,30,50
22,D,D2,0,10,100
23,D,D3,0,15,100
24,D,D4,0,15,150
25,D,D5,0,20,100
26,D,D6,0,30,300
27,D,D7,0,20,100
28,D,D8,0,25,100
29,D,D9,0,10,200
30,D,D10,0,15,150
31,D,D11,0,15,300
32,D,D12,0,25,50
33,D,D13,0,15,200
34,D,D14,0,25,250
35,D,D15,0,25,50
36,D,D16,0,30,50
37,D,D17,0,15,100
38,D,D18,0,15,50
39,D,D19,0,25,100
40,D,D20,0,15,50
